,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
462,THOR ABLESTAR DEB,7101.0,0.004647232784114913,66.77
464,THOR ABLESTAR DEB,7146.0,0.0033585222502099076,66.32
466,THOR ABLESTAR DEB,7435.0,0.023940820443846673,66.56
468,THOR ABLESTAR DEB,7161.5,0.006632688682538575,66.84
469,THOR ABLESTAR DEB,7245.0,0.006901311249137336,66.23
474,THOR ABLESTAR DEB,7209.5,0.014356057979055413,66.22
477,THOR ABLESTAR DEB,7025.0,0.004128113879003558,66.07
479,THOR ABLESTAR DEB,7141.5,0.008191556395715185,66.24
502,RELAY 1 (A-15),10757.0,0.28409407827461186,47.5
505,EXPLORER 16,7322.0,0.027724665391969407,52.0
509,THOR AGENA B DEB,7378.0,0.0014909189482244511,80.52
510,THOR AGENA B DEB,7383.5,0.0031827723979142683,80.42
514,DELTA 1 R/B,10747.0,0.2834279333767563,47.52
515,THOR ABLESTAR DEB,7298.5,0.007330273343837775,65.99
529,THOR ABLESTAR DEB,7275.5,0.008590474881451447,66.88
536,THOR ABLESTAR DEB,7398.5,0.016827735351760492,67.22
537,THOR ABLESTAR DEB,7085.5,0.0010584997530167244,67.81
540,THOR ABLESTAR DEB,7321.5,0.007170661749641467,67.22
542,THOR ABLESTAR DEB,7382.0,0.007450555405039284,67.03
543,THOR ABLESTAR DEB,7429.5,0.01891109765125513,66.87
544,THOR ABLESTAR DEB,7376.5,0.0159289636006236,67.23
547,THOR ABLESTAR DEB,7036.5,0.011298230654444682,66.67
548,THOR ABLESTAR DEB,7501.5,0.021395720855828835,66.69
551,THOR ABLESTAR DEB,7284.5,0.010913583636488434,67.74
552,SYNCOM 1,38155.5,0.07777384649657323,28.02
557,THOR ABLESTAR DEB,7694.5,0.04750146208330626,65.7
558,THOR ABLESTAR DEB,7076.5,0.006571045008125486,66.6
559,THOR ABLESTAR DEB,7428.5,0.029817594399946152,67.16
560,THOR ABLESTAR DEB,7880.5,0.06262293001713089,67.76
572,TELSTAR 2 (A-41),12263.0,0.4006360596917557,42.76
573,MIDAS 6 (FTV 1169),10022.0,0.0031929754540011976,87.31
574,DELTA 1 R/B,12251.0,0.40004897559382907,42.75
588,DASH 1,10019.5,0.012725185887519338,87.31
601,WESTFORD NEEDLES,10007.0,0.00399720195862896,87.32
607,ERS 6,10022.0,0.006884853322690082,87.31
621,MIDAS 7/ERS 10,10079.0,0.0032741343387240798,88.39
627,WESTFORD NEEDLES,10037.0,0.002490784098834313,87.3
628,WESTFORD NEEDLES,10020.0,0.009880239520958085,87.31
629,ATLAS AGENA B DEB,10064.0,0.004073926868044515,88.41
630,ATLAS AGENA B DEB,10095.0,0.017632491332342744,88.38
633,SYNCOM 2 (A 26),42160.5,0.0010317714448358061,31.37
634,ERS 9,10079.0,0.004960809604127394,88.39
642,THOR ABLESTAR DEB,7509.0,0.032227993074976695,66.37
643,THOR ABLESTAR DEB,7413.5,0.01517501854724489,67.1
644,THOR ABLESTAR DEB,7623.0,0.04092876820149548,66.58
647,THOR ABLESTAR DEB,7418.5,0.019882725618386467,65.87
648,THOR ABLESTAR DEB,7780.0,0.056169665809768635,66.27
651,THOR ABLESTAR DEB,7221.0,0.0065087937958731475,66.71
652,THOR ABLESTAR DEB,7381.5,0.015647226173541962,67.45
654,THOR ABLESTAR DEB,7605.5,0.03609230162382487,67.26
655,THOR ABLESTAR DEB,7755.5,0.0658242537553994,66.29
656,THOR ABLESTAR DEB,7596.0,0.033438651922064244,66.21
657,THOR ABLESTAR DEB,7487.5,0.035325542570951586,65.86
658,THOR ABLESTAR DEB,7775.0,0.05877813504823151,67.16
659,THOR ABLESTAR DEB,7007.0,0.0038532895675752817,66.51
668,THOR ABLESTAR R/B,7465.0,0.002813127930341594,90.0
669,TRANSIT 5B-1,7470.5,0.004216585235258684,89.99
670,RADIATION SAT (5E-1),7468.5,0.003949923009975229,89.99
671,THOR ABLESTAR DEB,7386.0,0.003113999458434877,90.01
673,VELA 2,115190.5,0.3890728836145342,45.88
691,VELA 1,115369.5,0.5926306346131344,20.38
693,ATLAS CENTAUR 2,7241.5,0.056134778706069186,30.35
697,ATLAS CENTAUR 2 DEB,7369.0,0.053602931198262996,29.92
699,ATLAS CENTAUR 2 DEB,7489.0,0.071972225931366,30.48
700,ATLAS CENTAUR 2 DEB,7339.5,0.05143402139110294,30.01
701,WESTFORD NEEDLES,10019.0,0.01746681305519513,87.31
702,THOR ABLESTAR R/B,7450.5,0.0014093013891685123,89.91
703,TRANSIT 5B-2,7461.5,0.0032835220800107217,89.91
704,TRANSIT 5E-3,7459.0,0.0032175894892076686,89.91
705,THOR ABLESTAR DEB,7427.5,0.00289464826657691,89.91
714,THOR ABLESTAR DEB,7363.0,0.0029879125356512292,89.91
715,TIROS 8,7033.5,0.002345915973555129,58.5
719,DELTA 1 DEB,7106.5,0.010905509041018786,58.47
720,SCOUT X-4 R/B,7823.5,0.10883875503291365,78.61
723,SCOUT X-4 DEB,7057.0,0.022955930281989514,78.58
726,THOR AGENA D R/B,7287.0,0.0010978454782489364,69.91
727,GGSE 1 (GGRS),7280.0,0.001098901098901099,69.91
728,SECOR 1B,7288.5,0.0013034232009329766,69.9
729,SOLRAD 7A,7286.0,0.0010979961570134504,69.91
730,GREB,7285.0,0.001098146877144818,69.91
731,SCOUT X-4 DEB,7305.0,0.0458590006844627,78.56
732,THOR AGENA D R/B,7158.5,0.003282810644688133,99.09
733,OPS 3367 A,7172.0,0.0013943112102621305,98.98
734,OPS 3367 B,7175.5,0.0016026757717232248,99.0
736,RELAY 2,11128.0,0.25988497483824585,46.46
737,DELTA 1 R/B,11130.0,0.26037735849056604,46.46
738,ATLAS CENTAUR 2 DEB,7327.0,0.06400982666848642,30.42
740,THOR AGENA B R/B,7548.5,0.017155726303239055,81.49
741,THOR AGENA B DEB,7539.5,0.01704357052854964,81.47
742,THOR AGENA B DEB,7537.5,0.017578772802653398,81.52
744,THOR ABLESTAR DEB,7431.5,0.0015474668640247595,90.01
745,ELEKTRON 1,9705.0,0.3019062339000515,60.87
749,ELEKTRON 1 DEB,7959.5,0.15132860104277907,60.76
752,THOR ABLESTAR DEB,7433.5,0.002623259568171117,89.91
800,OPS 4412 (TRANSIT 9),7216.5,0.004642139541328899,90.47
804,SCOUT X-4 DEB,7161.5,0.0032814354534664524,89.88
808,SCOUT X-4 R/B,7236.5,0.0038001796448559385,90.47
811,OPS 4467 A,7189.0,0.0005564056196967589,99.78
812,OPS 4467 B,7191.5,0.0006257387193214211,99.8
814,THOR AGENA D R/B,7176.0,0.0011148272017837235,99.84
828,ELEKTRON 3,9628.0,0.29476526796842545,60.82
830,ELEKTRON 3 DEB,7844.0,0.13921468638449772,60.67
835,OPS 3662 (VELA 3),109622.0,0.4769024465891883,49.36
836,OPS 3674 (VELA 4),109382.0,0.3840119946609131,48.41
857,SYNCOM 3,42131.5,0.0004628365949467738,5.44
861,DELTA 1 R/B,26166.5,0.7108898782794795,15.72
869,EXPLORER 20,7301.5,0.009792508388687256,79.9
870,SCOUT X-4 R/B,7271.5,0.008595200440074263,79.9
875,COSMOS 44,7055.0,0.012756909992912827,65.06
876,SL-3 R/B,7069.0,0.005658508982883011,65.08
892,THOR ABLESTAR R/B,7427.5,0.0023561090541905083,90.22
896,OPS 5798 (TRANSIT 5B-4),7437.0,0.002016942315449778,90.22
898,EXPLORER 22,7332.0,0.012002182214948172,79.69
899,CALSPHERE 1,7358.5,0.002514099340898281,90.21
900,OPS 5798 DEB,7432.0,0.002152852529601722,90.22
901,CALSPHERE 2,7440.0,0.0017473118279569893,90.22
902,OPS 5798 DEB,7345.0,0.002314499659632403,90.21
906,SCOUT X-4 R/B,7339.0,0.012126992778307671,79.69
931,EXPLORER 25 (INJUN 4),7776.5,0.11232559634797146,81.34
932,SCOUT X-4 R/B,7717.5,0.10579850988014253,81.33
952,THOR ABLESTAR R/B,7418.0,0.0033701806416823942,90.02
955,THOR ABLESTAR DEB,7388.0,0.0025717379534380075,89.94
958,OPS 6582 (TRANSIT 5E-5),7406.0,0.00418579530110721,90.0
964,OPS 6582 (TRANSIT 5B-5),7425.0,0.003905723905723906,90.05
966,THOR ABLESTAR DEB,7388.5,0.0025038911822426744,89.96
975,SCOUT X-4 DEB,7248.0,0.011589403973509934,79.32
976,SCOUT X-4 DEB,7347.5,0.012725416808438245,80.04
977,TIROS 9,8010.0,0.11573033707865168,96.41
978,DELTA 1 R/B,7991.5,0.11405868735531502,96.42
999,TITAN 3A DEB [TRUSS],9168.5,0.0011452255003544746,32.15
1000,TITAN 3A TRANSTAGE R/B,9157.5,0.0018018018018018018,32.14
1001,LES-1,9171.5,0.0014719511530284033,32.14
1098,THOR ABLESTAR DEB,7405.0,0.003916272788656313,89.85
1207,SECOR 3,7286.0,0.0020587427944002198,70.08
1243,GGSE 2,7285.5,0.0021275135543202253,70.08
1244,THOR AGENA D R/B,7280.5,0.001991621454570428,70.08
1270,OPS 4988 (GREB 6),7284.0,0.002059308072487644,70.08
1271,PORCUPINE 1,7291.5,0.0024000548583967634,70.08
1290,SOLRAD 7B,7289.5,0.0022635297345496947,70.08
1291,GGSE 3,7267.5,0.0017199862401100791,70.08
1292,OSCAR 3 (OSCAR III),7245.5,0.0020012421503001862,70.07
1311,DELTA 1 DEB,7936.5,0.11182511182511183,96.35
1312,DELTA 1 DEB,8056.0,0.1173038728897716,96.41
1313,OPS 4682 (SNAPSHOT),7672.5,0.0031932225480612577,90.25
1314,SECOR 4 (EGRS 4),7669.0,0.003129482331464337,90.25
1315,OPS 4682 DEB,7558.5,0.0033736852550109147,90.25
1316,INTELSAT 1-F1,42138.5,0.0008187287160197919,5.64
1317,DELTA 1 R/B(2),25610.0,0.6952752830925419,17.87
1327,EXPLORER 27,7492.0,0.024826481580352375,41.18
1334,SL-8 DEB,7326.5,0.053709138060465435,56.08
1357,SCOUT X-4 R/B,7494.0,0.02468641579930611,41.19
1358,TITAN 3A TRANSTAGE R/B,9640.5,0.04963435506457134,32.13
1359,LES-2,15165.5,0.39685470310903037,32.21
1360,LCS 1,9165.5,0.0008182859636681032,32.14
1388,OPS 4682 DEB,7587.5,0.003228995057660626,89.83
1391,SL-8 DEB,7020.0,0.024786324786324785,55.87
1398,OPS 4682 DEB,7642.0,0.0010468463752944255,90.26
1419,OPS 8480 (TRANSIT 5B-6),7444.0,0.007522837184309511,89.89
1424,THOR ABLESTAR DEB,7454.0,0.007244432519452643,89.88
1427,THOR ABLESTAR R/B,7440.5,0.0057119817216584904,89.88
1429,TIROS 10,7133.0,0.005607738679377541,98.45
1432,DELTA 1 R/B,7071.0,0.00410125866214114,98.49
1434,THOR ABLESTAR DEB,7370.0,0.006105834464043419,89.89
1457,OPS 6577 (VELA 5),118253.5,0.4885225384449509,23.7
1458,OPS 6564 (VELA 6),118152.5,0.46817037303484904,41.09
1476,SL-8 DEB,7646.5,0.05891584385012751,55.49
1477,SL-8 DEB,7444.0,0.06045137023105857,56.08
1478,SL-8 DEB,7803.0,0.07420222991157248,56.04
