,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
4138,SL-8 R/B,7054.5,0.000496137217378978,74.04
4158,THORAD AGENA D R/B,7368.0,0.011536373507057546,69.96
4250,DELTA 1 R/B,15220.5,0.5571104760027594,27.75
4254,SL-8 R/B,7526.5,0.0011293429881086827,74.02
4297,DELTA 1 R/B,19383.5,0.6542936002269972,28.14
4321,DELTA 1 R/B,7834.5,0.002871912693854107,101.36
4331,THOR BURNER 2 R/B,7164.5,0.005932025961337148,98.9
4353,DELTA 1 R/B,18270.5,0.6351495580307053,25.4
4366,THORAD AGENA D R/B,7445.0,0.0036265950302216254,100.04
4369,SL-8 R/B,7064.5,0.0014863047632528842,74.04
4376,DELTA 1 R/B,15887.0,0.580222823692327,26.7
4390,SL-8 R/B,7906.0,0.007589172780166962,74.03
4393,SL-3 R/B,6662.5,0.000975609756097561,81.21
4419,SL-3 R/B,7229.0,0.008576566606722921,81.23
4510,ATLAS AGENA D R/B,42122.0,0.002967570390769669,0.1
4512,THOR BURNER 2 R/B,7156.0,0.006567915036333147,98.88
4514,SCOUT A R/B,7452.0,0.017310789049919485,89.98
4578,SL-8 R/B,7063.5,0.0009202236851419268,74.01
4588,SL-8 R/B,7128.0,0.0021043771043771043,74.06
4596,SL-11 R/B,7659.0,0.09570440005222614,62.95
4631,TITAN 3C TRANSTAGE R/B,37358.5,0.13826839942717187,14.16
4783,SL-8 R/B,7353.0,0.002583979328165375,74.03
4788,SL-12 R/B(AUX MOTOR),9713.5,0.17980130745869152,51.6
4789,SL-12 R/B(AUX MOTOR),9726.5,0.17894412172929625,51.59
4793,DELTA 1 R/B(CEP 1),7829.0,0.0037041767786435047,101.34
4799,SL-8 R/B,7346.0,0.0008167710318540703,74.02
4881,ATLAS CENTAUR R/B,24917.0,0.7171409078139422,27.68
4902,DELTA 1 R/B,16191.0,0.5861898585633994,25.56
4953,THOR BURNER 2 R/B,7139.5,0.0035716786889838223,98.4
5050,SL-8 R/B,7356.0,0.004350190320826536,65.82
5053,TITAN 34B AGENA D R/B,24978.0,0.7084234126030907,63.43
5105,THOR DELTA 1 R/B,7764.5,0.004443299632944813,88.16
5117,SL-3 R/B,6845.5,0.0031407493974143596,81.25
5125,M-4S R/B,7355.0,0.0012236573759347384,29.68
5174,SL-8 R/B,7140.0,0.0030812324929971988,74.05
5180,SL-8 R/B,7560.0,0.005423280423280424,74.0
5217,SL-8 R/B,7918.0,0.006693609497347815,74.03
5238,SL-8 R/B,7363.5,0.001018537380321858,74.03
5394,1971-067 AKM,7135.5,0.005535701772826011,87.62
5437,SCOUT B-1 R/B,7067.5,0.010116731517509728,50.14
5497,M-4S R/B,7686.0,0.05737704918032787,32.03
5554,SL-8 R/B,7940.0,0.007556675062972292,74.02
5555,THOR BURNER 2 R/B,7191.0,0.006257822277847309,99.02
5580,BLACK ARROW R/B,7280.5,0.05157612801318591,82.04
5588,TITAN 3C TRANSTAGE R/B,43051.5,0.016758997944322496,4.93
5614,SL-8 R/B,7571.5,0.0021792247242950536,74.03
5678,THORAD AGENA D R/B,7322.0,0.0013657470636438131,70.0
5684,SL-8 R/B,7352.0,0.002312295973884657,74.03
5706,SL-8 R/B,7137.0,0.0025220680958385876,74.03
5729,SL-8 R/B,7187.5,0.06017391304347826,73.89
5731,SL-3 R/B,7250.5,0.005172057099510379,81.25
5815,ATLAS CENTAUR R/B,24900.0,0.7223694779116466,27.59
5846,SL-8 R/B,7344.5,0.0030635169174211994,74.05
5853,TITAN 3C TRANSTAGE R/B,42052.5,0.006265977052493907,0.71
5903,THOR BURNER 2 R/B,7189.5,0.004798664719382432,99.04
5906,SL-8 R/B,7553.5,0.00205202886079301,82.97
5917,SL-3 R/B,7250.5,0.005861664712778429,81.23
5976,DELTA 1 R/B(2),15108.0,0.5555334921895685,29.69
6019,SL-8 R/B,7345.0,0.002178352620830497,74.02
6057,ATLAS CENTAUR R/B,24785.5,0.7208045026325876,26.52
6060,SL-8 R/B,7131.5,0.001893009885718292,74.05
6079,SL-3 R/B,7267.5,0.0048847609219126245,81.24
6124,SL-8 R/B,7923.5,0.006878273490250521,74.01
6126,DELTA 1 R/B,7001.0,0.009284387944579345,98.5
6148,SL-8 R/B,7331.0,0.0008184422316191515,82.97
6154,ATLAS CENTAUR R/B,7022.5,0.003631185475258099,35.0
6179,SCOUT B-1 R/B,7036.5,0.0036239607759539546,90.04
6206,SL-8 R/B,7356.5,0.003194453884319989,65.82
6217,ATLAS F BURNER 2 R/B,7083.5,0.0011999717653702266,98.58
6236,DELTA 1 R/B,7568.0,0.03620507399577167,102.8
6256,SL-3 R/B,7249.0,0.005655952545178645,81.26
6270,SL-8 R/B,7907.5,0.008030350932658869,74.04
6275,THOR BURNER 2 R/B,7197.0,0.003751563151313047,98.54
6301,SL-6 R/B(2),26279.0,0.5559952814034019,70.11
6305,DELTA 1 R/B,7685.5,0.02699889402120877,99.84
6317,ATLAS AGENA R/B,41601.0,0.11901156222206197,9.85
6319,SL-8 R/B,7731.5,0.0025221496475457544,74.02
6323,SL-8 R/B,7121.0,0.0008425782895660722,74.08
6392,SL-3 R/B,7253.5,0.005859240366719515,81.25
6659,SL-3 R/B,7251.0,0.00468900841263274,81.23
6682,SL-8 R/B,7918.0,0.007072493053801465,74.02
6707,SL-8 R/B,7361.5,0.0012904978604903893,82.94
6778,ATLAS CENTAUR R/B,24999.0,0.7166286651466058,27.76
6787,THOR BURNER 2 R/B,7181.0,0.0029243837905584182,98.71
6796,ATLAS CENTAUR R/B,24835.5,0.7208028829699422,27.89
6825,SL-8 R/B,7761.0,0.0029635356268522097,74.02
6828,SL-8 R/B,7351.5,0.0022444399102224035,82.94
6852,SL-8 R/B,7932.0,0.008572869389813415,74.0
6909,SCOUT A-1 R/B,7379.0,0.015855807019921397,89.84
6920,DELTA 1 R/B,7897.5,0.0014561570117125674,102.39
6965,SL-8 R/B,7122.5,0.002176202176202176,74.06
6975,TITAN 3C TRANSTAGE R/B,43711.0,0.025897371371050765,8.13
