,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
2220,OPS 9317 (IDSCS 7),40410.5,0.00807958327662365,7.22
2257,EXPLORER 33 (AIMP-D),379598.5,0.28330327964941904,24.14
2388,OV3-3,7545.0,0.11000662690523526,81.33
2400,OPS 2366 (TRANSIT 14),7436.5,0.0031600887514287635,88.86
2402,OPS 0856,10064.5,0.0011426300362660838,90.32
2410,SECOR 7 (EGRS 7),10066.0,0.0013908205841446453,90.32
2411,ERS 15,10070.5,0.0008440494513678566,90.32
2417,OPS 6026 (DMSP 4A F1),7126.0,0.011787819253438114,98.26
2434,ESSA 3 (TOS-A),7814.0,0.0063987714358843106,101.07
2480,OPS 1920,10069.0,0.0032773860363491908,89.81
2513,INTELSAT 2-F1,26563.5,0.6378489280403561,16.85
2519,SECOR 8 (EGRS 8),10072.0,0.0014892772041302622,89.81
2607,ATS 1,42151.5,0.0006286846256954083,3.41
2609,OV1-9,8873.5,0.22770045641516876,99.11
2638,INTELSAT 2-F2,42191.5,0.0007702973347712217,1.65
2644,OPS 9321 (IDSCS 8),40050.0,0.003645443196004994,7.18
2648,OPS 9322 (IDSCS 9),40059.0,0.0036196610000249633,7.13
2649,OPS 9323 (IDSCS 10),40073.5,0.003555965912635532,7.12
2650,OPS 9324 (IDSCS 11),40102.5,0.003628202730503086,7.09
2651,OPS 9325 (IDSCS 12),40142.0,0.003985850231677544,7.07
2652,OPS 9326 (IDSCS 13),40190.5,0.00469016309824461,6.99
2653,OPS 9327 (IDSCS 14),40250.0,0.005788819875776397,6.94
2654,OPS 9328 (IDSCS 15),40320.5,0.007303976885207277,6.83
2656,ESSA 4 (TOS-B),7760.5,0.007280458733329038,102.06
2668,OPS 6073 (DMSP 4A F2),7177.5,0.004946011842563567,99.05
2673,DIADEME 1,7052.0,0.023255813953488372,39.92
2679,DIADEME 2,7486.0,0.07093240716003206,39.44
2716,INTELSAT 2-F3,42169.0,0.0018259859138229505,2.54
2753,OPS 0100 (TRANSIT 15),7424.0,0.0020204741379310346,90.22
2756,ESSA 5,7766.0,0.00424929178470255,101.93
2764,OPS 6638 (VELA 7),117701.0,0.4714913212292164,37.24
2765,OPS 6679 (VELA 8),118572.5,0.45920006746926983,33.02
2766,ERS 18,66294.5,0.7415773555875675,35.17
2767,ERS 20 (OV5-3),66290.5,0.749828406785286,35.12
2768,ERS 27 (OV5-1),66224.5,0.7531729193878398,37.51
2800,COSMOS 158,7147.0,0.005596753882748006,74.04
2806,OPS 7218 (TRANSIT 16),7448.5,0.0018124454588172114,89.68
2825,OPS 5712 (P/L 160),7063.0,0.000566331587144273,69.92
2827,GGSE 4,7279.0,0.001099052067591702,69.97
2833,GGSE 5,7285.5,0.0010294420424130121,69.98
2846,TIMATION 1,7263.0,0.0005507366102161641,69.96
2860,SECOR 9 (EGRS 9),10249.5,0.0072686472510854186,90.02
2861,OPS 9331 (IDSCS 16),39651.0,0.006254571133136617,1.48
2862,OPS 9332 (IDSCS 17),39665.5,0.006113625190656868,1.46
2863,OPS 9333 (IDSCS 18),39692.0,0.005819812556686486,1.41
2864,OPS 9334 (IDSCS 19),39731.0,0.00551206866175027,1.34
2865,LES-5,39779.0,0.00540486186178637,1.25
2866,DODGE 1,39842.0,0.005371216304402389,1.15
2871,SURCAL 159,7274.0,0.0008248556502612042,69.97
2872,OPS 5712 (P/L 152),7277.5,0.0010305736860185502,69.97
2873,OPS 5712 (P/L 153),7283.5,0.0010297247202581176,69.98
2875,AURORA 1,10250.5,0.007170381932588654,90.02
2908,SURCAL 150B,6979.0,0.0004298610116062473,69.94
2919,OPS 7202 (DMSP 4A F3),7220.0,0.003739612188365651,98.66
2964,OPS 4947 (TRANSIT 17),7438.5,0.004906903273509444,89.23
2968,INTELSAT 2-F4,42193.0,0.0013509349892162207,2.49
2979,OPS 1264 (DMSP 4A F4),7066.0,0.009482026606283611,99.23
3028,ATS 3,42164.5,0.001695739306762798,1.57
3034,ESSA 6 (TOS-D),7825.0,0.0048562300319488815,102.02
3046,COSMOS 192,7081.5,0.0007766716091223611,74.01
3080,COSMOS 198,7295.0,0.00411240575736806,65.14
3092,EXPLORER 36 (GEOS 2),7705.5,0.03186035948348582,105.8
3128,COSMOS 203,7569.0,0.001321178491214163,74.05
3132,OPS 7034 (TRANSIT 18),7445.0,0.007387508394895903,90.02
3157,COSMOS 209,7279.5,0.0029534995535407654,65.33
3172,OV1-13,11270.5,0.3837895390621534,99.94
3173,OV1-14,11581.0,0.3992746740350574,100.01
3228,COSMOS 220,7011.0,0.0035658251319355297,74.03
3265,OPS 7869 (DMSP 4B F1),7218.0,0.005126073704627321,98.59
3283,OPS 9341 (IDSCS 20),40165.0,0.0014938379185858335,5.93
3284,OPS 9342 (IDSCS 21),40173.5,0.0016802120801025552,5.96
3285,OPS 9343 (IDSCS 22),40188.0,0.002015527022991938,5.94
3286,OPS 9344 (IDSCS 23),40217.5,0.0026729657487412194,5.9
3287,OPS 9345 (IDSCS 24),40258.0,0.0036017685925778726,5.8
3288,OPS 9346 (IDSCS 25),40306.0,0.004664317967548256,5.78
3289,OPS 9347 (IDSCS 26),40369.0,0.006118556317966757,5.65
3290,OPS 9348 (IDSCS 27),40436.5,0.007579785589751833,5.59
3306,EXPLORER 38 (RAE-A),12221.5,0.0014319027942560243,120.83
3333,OPS 2222,42451.5,0.09317691954347902,7.52
3337,EXPLORER 40 (INJUN 5),7956.5,0.11305222145415698,80.66
3344,ESSA 7 (TOS-E),7830.0,0.0026819923371647508,101.47
3427,OV2-5,41808.5,0.008000765394596793,1.07
3429,ERS 21 (OV5-4),42158.0,0.00011860145168176859,3.0
3430,LES-6,42167.0,0.0006877415988806412,1.15
3503,COSMOS 249,7653.5,0.09819037041876266,62.36
3509,OPS 4078 (DMSP 4B F2),7177.0,0.0029260136547303887,98.5
3529,COSMOS 252,7687.5,0.09723577235772357,62.33
3575,COSMOS 256,7575.0,0.0033003300330033004,74.05
3596,OAO 2,7114.0,0.000562271577171774,34.99
3604,OPS 7684,7798.5,0.005706225556196705,80.36
3614,ESSA 8 (TOS-F),7816.5,0.0032623296872001536,101.61
3622,INTELSAT 3-F2,45249.5,0.008850926529574912,5.63
3668,ISIS 1,8388.5,0.1710079275198188,88.45
3672,OPS 2644,7786.0,0.0023118417672745952,80.39
3673,INTELSAT 3-F3,47100.0,0.01791932059447983,11.11
3690,OPS 0757 (TACSAT),42125.0,0.0021602373887240358,1.27
3763,ESSA 9 (TOS-G),7843.0,0.005100089251561903,101.42
3817,COSMOS 272,7571.0,0.0018491612732796196,73.99
3824,OV1-19,9368.0,0.268467122117848,104.74
3889,NIMBUS 3,7477.5,0.003945168839852892,99.78
3890,SECOR 13 (EGRS 13),7476.5,0.003945696515749348,99.73
3946,INTELSAT 3-F4,45299.5,0.002130266338480557,5.45
3949,ERS 29 (OV5-5),70728.5,0.6739362491781955,33.99
3950,ERS 26 (OV5-6),70651.0,0.6908890178482966,32.95
3951,OV5-9,70652.5,0.6905700435228761,32.93
3953,OPS 6909 (VELA 9),117713.5,0.6489187731228788,85.96
3954,OPS 6911 (VELA 10),118155.5,0.8505867268133942,34.31
4046,OPS 1127 (DMSP 4B F3),7172.5,0.004252352736144998,98.5
4067,ATS 5,42386.0,0.0004718539140282169,1.55
4069,COSMOS 292,7088.5,0.0009169782041334556,74.05
4131,SOICAL [CONE],7173.0,0.0012547051442910915,69.99
4137,COSMOS 304,7115.5,0.0011945752231044902,74.04
4167,TEMPSAT 2,7286.0,0.0021959923140269007,70.02
4220,AZUR (GRS A),7011.5,0.04171717892034515,102.68
4236,OPS 7613 (P/L 4),7286.5,0.00226446167570164,70.02
4246,OPS 7613 (P/L 5),7286.5,0.00226446167570164,70.02
4249,SKYNET 1A,42165.5,0.002478329439944979,1.18
4253,COSMOS 312,7535.0,0.0023888520238885204,74.02
4255,OPS 7613 (P/L 1),7275.5,0.0018555425743935125,70.01
4256,TIMATION 2,7285.0,0.002196293754289636,70.02
4258,OPS 7613 (P/L 3),7289.0,0.002332281520098779,70.02
4294,OPS 7613 (P/L 6),7287.5,0.0022641509433962265,70.02
4296,INTELSAT 3-F6,42479.0,0.0008710186209656537,0.57
4319,ITOS 1 (TIROS M),7833.5,0.002872279313206102,101.47
4320,OSCAR 5 (AO-5),7833.5,0.0027446224548413863,101.37
4326,SERT 2,7418.5,0.0006065916290355193,99.2
4330,OPS 0054 (DMSP 5A F1),7157.0,0.005728657258627917,98.94
4352,NATO 2A,42166.0,0.00035573684959446,1.94
4361,NIMBUS 4,7470.0,0.0008032128514056225,99.95
4362,TOPO 1,7463.0,0.00026798874447273214,99.89
4365,OPS 7044 (VELA 12),117902.5,0.6537562816734166,89.84
4367,OPS 7033 (VELA 11),117725.5,0.6550789760926902,87.62
4368,COSMOS 332,7095.5,0.0006342047776759918,74.04
4375,INTELSAT 3-F7,42165.0,0.00021344717182497332,0.83
4381,DFH 1,7594.5,0.1042201593258279,68.41
4382,COSMOS 336,7852.5,0.0014645017510347023,74.03
4383,COSMOS 337,7888.0,0.005324543610547667,74.03
4384,COSMOS 338,7870.5,0.0032399466361730514,74.03
4385,COSMOS 339,7835.0,0.0015315890236119974,74.03
4386,COSMOS 340,7816.5,0.003902002174886458,74.03
4387,COSMOS 341,7783.0,0.008094565077733522,74.03
4388,COSMOS 342,7766.5,0.010107513036760446,74.03
4389,COSMOS 343,7799.0,0.006026413642774715,74.03
4417,OPS 5346,42170.5,0.0006521146298953059,2.71
4418,METEOR 1-5,7217.0,0.00401829014826105,81.21
4477,INTELSAT 3-F8,41615.0,0.03155112339300733,3.93
4506,NNSS 19 (TRANSIT 19),7446.0,0.0174590384098845,89.97
4509,OPS 7329,42162.5,0.10093092202786837,10.32
4511,OPS 0203 (DMSP 5A F2),7150.5,0.006503041745332494,98.82
4563,COSMOS 367,7347.5,0.007281388227288193,65.28
4577,COSMOS 371,7087.0,0.00014110342881332017,74.0
4587,COSMOS 372,7148.0,0.0013989927252378287,74.05
4593,COSMOS 374,7656.0,0.09417450365726228,62.94
4597,COSMOS 375,7652.0,0.09866701515943545,62.81
4629,OPS 5960 (DSP 1),37361.5,0.1375078623716928,14.16
4782,COSMOS 381,7360.0,0.002989130434782609,74.03
4785,COSMOS 382,10205.5,0.1348782519229827,55.86
4792,NOAA 1,7826.0,0.0031944799386659853,101.43
4798,COSMOS 385,7353.0,0.00027199782401740786,74.02
4880,INTELSAT 4-F2,42571.5,0.001045300259563323,5.96
4901,NATO 2B,42165.0,0.00042689434364994664,2.73
4921,COSMOS 394,6826.0,0.0020509815411661296,65.82
4951,TANSEI-1 (MS-T1),7419.0,0.007952554252594689,29.67
4952,OPS 5268 (DMSP 5A F3),7131.5,0.00385613124868541,98.57
4963,COSMOS 397,7740.5,0.10186680446999548,65.73
5049,COSMOS 400,7369.5,0.000339236040436936,65.82
5103,ISIS 2,7768.5,0.0043122867992533955,88.16
5104,COSMOS 402,7366.5,0.002918618068282088,64.98
5173,COSMOS 407,7157.0,0.0018164035210283638,74.04
5179,COSMOS 409,7571.0,0.002377493065645225,74.0
5203,OPS 3811 (DSP 2),42767.0,0.0021278088245609934,1.38
5209,COSMOS 411,7780.5,0.011246063877642825,74.02
5210,COSMOS 412,7885.0,0.0035510462904248573,74.02
5211,COSMOS 413,7868.5,0.0020969689267331766,74.02
5212,COSMOS 414,7838.0,0.004337841286042358,74.02
5213,COSMOS 415,7853.0,0.0031834967528333123,74.02
5214,COSMOS 416,7809.0,0.007811499551799206,74.02
5215,COSMOS 417,7795.0,0.00949326491340603,74.01
5216,COSMOS 418,7823.5,0.005943631367035214,74.02
5237,COSMOS 422,7369.5,0.0015604857860099057,74.02
5396,OV1-21,7210.5,0.00825185493377713,87.63
5397,RIGIDSPHERE 2 (LCS 4),7149.0,0.00629458665547629,87.63
5434,EOLE 1 (CAS-A),7077.0,0.010456408082520843,50.14
5484,SHINSEI (MS-F2),7742.5,0.06399741685502099,32.06
5546,COSMOS 444,7792.0,0.012063655030800821,74.03
5547,COSMOS 445,7808.0,0.010245901639344262,74.03
5548,COSMOS 446,7824.0,0.00843558282208589,74.03
5549,COSMOS 447,7840.0,0.0066326530612244895,74.03
5550,COSMOS 448,7856.0,0.004837067209775967,74.03
5551,COSMOS 449,7890.0,0.0036755386565272496,74.02
5552,COSMOS 450,7873.0,0.004318557093865108,74.03
5553,COSMOS 451,7909.0,0.0053104058667341,74.03
5556,OPS 4311 (DMSP 5B F1),7176.5,0.0049467010381104995,99.05
5559,ASTEX 1,7104.5,0.0017594482370328665,92.72
5579,PROSPERO (BLACK ARROW),7276.0,0.05112699285321605,82.04
5586,OPS 9431 (DSCS 2-1),42167.0,0.0005454502335949914,3.19
5587,OPS 9432 (DSCS 2-2),42134.5,0.00017800140027768218,3.15
5613,COSMOS 457,7577.5,0.002441438469152095,74.04
